location,kind,detail,impact_area,risk,evidence,confidence,needs_confirm,note
mvnw,shell,Unix/POSIX シェルスクリプト（#!/bin/sh）。Windows では mvnw.cmd を使う必要がある,ビルド起動,mid,mvnw:1,fact,no,Linux/macOS 向けビルドスクリプト。Cygwin/MinGW 対応コードあり
mvnw.cmd,shell,Windows バッチスクリプト（@echo off）。mvnw の Windows 対応版,ビルド起動,mid,mvnw.cmd:36,fact,no,Windows 向けビルドスクリプト。PowerShell を内部で呼び出す（l.146-155）
mvnw,env-var,JAVA_HOME 必須。未設定時はビルド失敗（exit 1）,ビルド起動,high,mvnw:26,fact,no,JAVA_HOME が設定されていないと Error: JAVA_HOME not defined correctly でビルド終了
mvnw.cmd,env-var,JAVA_HOME 必須。未設定時は Error: JAVA_HOME not found でビルド失敗,ビルド起動,high,mvnw.cmd:24,fact,no,Windows 環境でも同様
mvnw,env-var,MAVEN_OPTS を読み込み JVM 引数として追加（.mvn/jvm.config の内容も結合）,ビルド設定,low,mvnw:313,fact,no,環境変数 MAVEN_OPTS が設定されていれば追加適用される
mvnw,env-var,MVNW_REPOURL / MVNW_USERNAME / MVNW_PASSWORD — Maven Wrapper JAR のダウンロード先・認証情報,ビルド起動,mid,mvnw:222,fact,yes,ネットワーク制限環境では MVNW_REPOURL を社内リポジトリに変更が必要
mvnw,file-path,/usr/local/etc/mavenrc, /etc/mavenrc, $HOME/.mavenrc — 実行前に読み込む OS パス（存在確認あり）,ビルド設定,low,mvnw:38-46,fact,no,存在しない場合はスキップされるので通常は問題なし
mvnw,file-path,/usr/libexec/java_home（macOS 固有）/ /Library/Java/Home（macOS フォールバック）— JAVA_HOME 自動解決に使用,ビルド起動,low,mvnw:64-68,fact,no,macOS 固有パス。他 OS は別フォールバックがある
mvnw,os-command,uname コマンドで OS 種別を判定（CYGWIN / MINGW / Darwin）,ビルド起動,low,mvnw:56,fact,no,uname が存在しない非 POSIX 環境では動作しない
mvnw,os-command,which / readlink -f — JAVA_HOME 自動解決に使用（Solaris 10 で readlink 非対応の注記あり）,ビルド起動,low,mvnw:102-114,fact,no,Solaris 等の exotic 環境ではフォールバック挙動になる
mvnw,os-command,sha256sum または shasum — Maven Wrapper JAR の SHA-256 検証に使用,ビルド起動,mid,mvnw:292-300,fact,no,どちらも存在しない環境では wrapperSha256Sum 設定時にビルドエラー
mvnw,os-command,wget または curl — Maven Wrapper JAR のダウンロードに使用（なければ javac/java へフォールバック）,ビルド起動,mid,mvnw:240-275,fact,no,wget/curl/java のいずれも使えない環境では Wrapper JAR を事前配置が必要
mvnw.cmd,os-command,powershell コマンド — Maven Wrapper JAR のダウンロードと SHA-256 検証に使用,ビルド起動,mid,mvnw.cmd:146-175,fact,no,Windows 環境での依存。PowerShell が無効化されている環境では失敗
.mvn/wrapper/maven-wrapper.properties,build,Maven Wrapper バージョン 3.3.4 / Maven 3.9.16。中央リポジトリ URL をハードコード,ビルド起動,mid,.mvn/wrapper/maven-wrapper.properties:1-4,fact,yes,ネットワーク制限環境では distributionUrl を社内ミラーに変更が必要
pom.xml,build,Java バージョン 17 指定（java.version / java.release.version = 17）。CI では 21/25/26/27-ea でテスト,ビルド・実行,mid,pom.xml:62-63,fact,no,Java 17 未満では --release 指定によりコンパイル不可
pom.xml,build,packaging=war。サーブレットコンテナ（Tomcat/Jetty 等）へのデプロイが前提,デプロイ,mid,pom.xml:21,fact,no,スタンドアロン実行（Spring Boot 等）は非対応
pom.xml,build,spring-web 5.3.39 固定（他の Spring 6.x と混在）。コメントに「Jakarta upgrade まで固定」と明記,ビルド・実行,high,pom.xml:108-110,fact,no,Jakarta EE 9+ への移行時に spring-web も 6.x へ更新が必要。javax→jakarta パッケージ変更も伴う
pom.xml,build,cargo-maven3-plugin でコンテナをダウンロード・起動（デフォルト tomcat9 プロファイルが activeByDefault=true）,デプロイ,mid,pom.xml:325-352,fact,no,ビルド時にインターネット接続が必要。オフライン環境では事前にコンテナ ZIPを用意する必要あり
