item,origin,reason,ask_to
業務バッチ処理の有無とジョブスケジュール構成,00-asset-check.csv:batch-shell行,業務バッチクラス・シェルがソースに未発見。spring-batch-infrastructure依存はあるが実装クラスが確認できない,顧客
ライブラリの実体JAR確認（WEB-INF/lib直接参照の未宣言ライブラリ有無）,00-asset-check.csv:library行,実体JARはコミットされておらずMaven依存管理で取得のためWEB-INF/lib直接参照による未宣言ライブラリの有無が確認不可,顧客
本番DB（MySQL/PostgreSQL等）用DDLの有無,00-asset-check.csv:db行,HSQLDBスキーマDDLのみ存在。本番DB用DDLが存在しない可能性あり,顧客
本番環境で使用するAPサーバーの種類（Tomcat/Liberty/WildFly等）,00-asset-check.csv:deploy-env行,CI設定に8種のAPサーバープロファイルが存在するが本番使用サーバーが設定から特定不可,顧客
業務設計書（ER図・画面遷移図・機能仕様書等）の有無,00-asset-check.csv:document行,Maven Siteの技術ドキュメントは存在するが業務設計書が未発見,顧客
移行目標のJavaバージョン（Java 21 LTSへの移行可否）,08-runtime-impact.csv:language-version行（pom.xml:63 Java 17 needs_confirm=yes）,現行はJava 17。CIはJava 21/25/26/27-eaでテスト中だが正式な移行目標バージョンが未定,顧客
mybatis-parent:52の maven-compiler-plugin 設定値,08-runtime-impact.csv:language-version行（pom.xml mybatis-parent:52 needs_confirm=yes）,コンパイラ設定が親POM(mybatis-parent:52)に委譲されており本リポジトリ内から設定値確認不可,技術検証
本番APサーバーとしてIBM Liberty EE8を使用しているか,08-runtime-impact.csv:server-api行（liberty-ee8 profile needs_confirm=yes）,pom.xmlのliberty-ee8プロファイルとspring-batch-infrastructure依存（Libertyの OSGi問題回避目的）からLiberty利用の可能性があるが確認不可,顧客
本番APサーバーとしてWildFly 26を使用しているか（WildFly 27+移行計画を含む）,08-runtime-impact.csv:server-api行（wildfly26 profile needs_confirm=yes）,pom.xmlのwildfly26プロファイルが定義されているが実際に使用しているか不明。WildFly 26はEOL,顧客
spring-batch-infrastructure依存の必要性（Liberty不使用の場合は削除可能か）,08-runtime-impact.csv:library-compat行（spring-batch-infrastructure needs_confirm=yes）,Liberty向けOSGi問題回避目的とコメントにあるが、Liberty不使用であれば不要な依存の可能性あり,顧客
JSTL context-paramのパラメータ名変更有無（Jakarta JSTL 3.x移行時）,12-impact-matrix.csv:JSTL localization context行（needs_confirm=yes）,web.xml:31のjavax.servlet.jsp.jstl.fmt.localizationContext がJakarta JSTL 3.x移行後も有効か仕様確認が必要,技術検証
本番APサーバーの最終決定（8種プロファイルのどれを使用するか）,12-impact-matrix.csv:APサーバー選択行（needs_confirm=yes） / 12-impact-matrix.csv:Tomcat9行（dep_from=全JSP・APサーバーデプロイ, dep_to=Tomcat 9（APサーバー runtime）, needs_confirm=yes）,pom.xmlに8種のAPサーバープロファイルが存在するが本番環境での使用サーバーが設定から特定不可,顧客
