dep_from,dep_to,action,impact,risk,basis,policy,evidence,confidence,needs_confirm,note
"Webレイヤー全体（web/actions/*ActionBean・AbstractActionBean・全JSP）","Stripes 1.6.0 (framework)",replace,"Stripes 1.6.0 は 2015 年頃に開発停止しており javax.servlet API に完全依存している。Jakarta EE 9+ への移行が不可能であり、ActionBean 4 クラス（AccountActionBean/CartActionBean/CatalogActionBean/OrderActionBean）および AbstractActionBean がすべて net.sourceforge.stripes.* に依存。JSP 全画面で stripes TLD を使用。置換しない限りシステム全体が jakarta 移行不可のボトルネックとなる。",high,"07-framework.csv:Stripes行（replace_impact=high）; 03-libraries.csv:stripes行（risk=high）; 08-runtime-impact.csv:library-compat行（stripes 1.6.0）; 04-dependencies.csv:implements=net.sourceforge.stripes.action.ActionBean他20行","Stripes を Spring MVC（+ Thymeleaf または JSP 継続）または Jakarta Faces 等の Jakarta EE 対応フレームワークへ全面置換する。AbstractActionBean（50行）は軽量なため新フレームワーク向けの基底クラスとして再実装容易。ActionBean 4 クラスのロジックは Service 層への委譲が明確なため、コントローラ書き直しの範囲はビジネスロジックではなく HTTP ハンドリング部分に限定される。JSP 全画面の stripes タグを新テンプレートエンジンへ書き換えるコストを別途見積もること。",fact,no,置換影響が全 Web レイヤーに及ぶため最高優先度。spring-web・JSTL・jakarta.servlet-api の移行と同時に計画すること。
"Webレイヤー全体（web/actions/*ActionBean・web.xml）","spring-web 5.3.x (library)",upgrade,"spring-web 5.3.39 は意図的に固定されており（pom.xml コメント: Keep spring-web at 5.3.39 until jakarta upgrade occurs）Spring 5 は 2024 年末 EOL。spring-context 6.2.x と混在しており不整合状態。6.x へのアップグレードには javax→jakarta 名前空間移行が必要。",high,"03-libraries.csv:spring-web行（risk=high）; 08-runtime-impact.csv:library-compat行（spring-web 5.3.39）; 10-platform.csv:pom.xml行（risk=high spring-web固定）","Stripes 置換と同時に spring-web を 6.x へアップグレードする。この作業は Stripes 置換なしには実施不可なため、Stripes 置換ロードマップの一環として計画する。EOL のため脆弱性対応が受けられないリスクを PM へ周知する。","pom.xml:108-110（spring-web 5.3.39固定コメント）; 03-libraries.csv:spring-web行",fact,no,spring-context 6.2.x と spring-web 5.3.x の混在は意図的だが技術的負債。Stripes 置換が完了するまで継続する。
"web.xml・AccountActionBean・CartActionBean・OrderActionBean（javax.servlet.http.*）","javax → jakarta 名前空間 (namespace-migration)",migrate,"AccountActionBean:22 (import javax.servlet.http.HttpSession)・OrderActionBean:22 (import javax.servlet.http.HttpSession)・CartActionBean:20 (import javax.servlet.http.HttpServletRequest)・web.xml:24-27（Servlet 3.0 スキーマ xmlns=http://java.sun.com/xml/ns/javaee）の 4 箇所で javax.* 直接参照。Jakarta EE 9+ コンテナ（Tomcat 10+）ではコンパイル・デプロイ不可。",high,"08-runtime-impact.csv:namespace-migration行3件（AccountActionBean/OrderActionBean/CartActionBean・risk=high）; 08-runtime-impact.csv:server-api行（web.xml Stripes 動作不可・risk=high）; 10-platform.csv:encoding行（javax.servlet.http.*・risk=high）","javax.servlet.* を jakarta.servlet.* へ一括置換する（IDE のリファクタリング機能またはスクリプトで対応可能）。web.xml の xmlns も jakartaee スキーマへ更新する。Stripes 置換完了後に実施する。","08-runtime-impact.csv:AccountActionBean.java:22 / OrderActionBean.java:22 / CartActionBean.java:20 / web.xml:24-27",fact,no,08-runtime-impact.csv の namespace-migration 4 件をまとめて 1 行に集約。Stripes 1.6.0 自体が javax 依存のため、Stripes 置換前には実施不可。
"beans.xml（CDI設定）","javax → jakarta 名前空間 (namespace-migration)",migrate,"beans.xml:18-22 の xmlns が xmlns.jcp.org/xml/ns/javaee（Java EE 7/8）。Jakarta EE 9+ では jakarta.ee スキーマへ変更が必要。",low,"08-runtime-impact.csv:namespace-migration行（beans.xml）; 10-platform.csv:encoding行（beans.xml・risk=high）","beans.xml の xmlns を https://jakarta.ee/xml/ns/jakartaee へ変更する。Stripes 置換・jakarta 移行の一環として実施する。","beans.xml:18-22; 10-platform.csv:encoding行（risk=high）",fact,no,beans.xml は Resin プロファイルでは除外設定あり（pom.xml）。Tomcat 等での CDI 有無を確認すること（04-unresolved.csv 参照）。
"全 JSP（IncludeTop.jsp 経由）","JSTL 1.2 taglibs-standard (library)",replace,"taglibs-standard-spec/impl 1.2.5 は javax.servlet.jsp 依存。Jakarta EE 9+ コンテナ（Tomcat 10+/Servlet 5.0+）では動作不可。IncludeTop.jsp の taglib URI（http://java.sun.com/jsp/jstl/core, fmt）も Jakarta JSTL 3.x では URI が変わる可能性あり。全 JSP が IncludeTop.jsp を include するため間接的に全 16 JSP へ影響。",mid,"07-framework.csv:JSTL行（replace_impact=low）; 08-runtime-impact.csv:library-compat行（taglibs-standard-spec/impl）; 08-runtime-impact.csv:namespace-migration行（IncludeTop.jsp taglib URI）; 03-libraries.csv:taglibs-standard-spec/impl行（risk=mid）","taglibs-standard-spec/impl を jakarta.servlet.jsp.jstl 対応版（Jakarta JSTL 3.x）へ差し替える。IncludeTop.jsp の taglib URI を Jakarta JSTL 対応 URI へ更新する。Stripes 置換・spring-web アップグレードと同時に実施する。","08-runtime-impact.csv:pom.xml:127-135（taglibs-standard 1.2.5）; IncludeTop.jsp:21-22",fact,no,""
"web.xml（context-param: javax.servlet.jsp.jstl.fmt.localizationContext）","JSTL localization context パラメータ名 (namespace-migration)",confirm,"web.xml:31 の context-param 名 javax.servlet.jsp.jstl.fmt.localizationContext は仕様上 javax.* 表記のまま残るが、taglibs-standard-impl を Jakarta 版に差し替えた場合の動作確認が必要。",mid,"08-runtime-impact.csv:namespace-migration行（web.xml JSTL context-param）","JSTL Jakarta 版への移行後に動作確認テストを実施する。","web.xml:31; 08-runtime-impact.csv:namespace-migration行（mid）",fact,yes,仕様上の名前空間が変わるかどうか Jakarta JSTL 3.x のドキュメントで確認が必要。
"全 ActionBean・Service・JSP（runtime）","jakarta.servlet-api 4.0.4 / Servlet 4.0 (library)",migrate,"jakarta.servlet-api 4.0.4 はアーティファクト ID は jakarta だがバージョン 4.x は実態が javax.servlet 名前空間（Servlet 4.0）。Servlet 5.0+（jakarta.servlet 名前空間）へ移行時には全 Servlet API 参照コードの修正が必要。Stripes 1.6.0 が javax.servlet 依存のため現時点では移行不可。",high,"08-runtime-impact.csv:library-compat行（jakarta.servlet-api 4.0.4）; 03-libraries.csv:jakarta.servlet-api行（risk=mid）","Stripes 置換後に jakarta.servlet-api を 5.0+ へアップグレードし、Servlet API 参照箇所の名前空間を javax.servlet.* から jakarta.servlet.* へ一括移行する。","pom.xml:143-147（jakarta.servlet-api 4.0.4）; 08-runtime-impact.csv:library-compat行",fact,no,Stripes 置換完了が前提条件。
"全 JSP・APサーバーデプロイ","Tomcat 9（APサーバー runtime）",replace,"pom.xml の tomcat9 プロファイルがデフォルト有効（activeByDefault=true）。Stripes 1.6.0 が javax.servlet 依存のため Tomcat 10+（Jakarta EE 9+）では動作不可。Jakarta EE 移行後は Tomcat 10+ への切り替えが必要。",high,"08-runtime-impact.csv:server-api行（web.xml StripesFilter + Tomcat9 profile）; 10-platform.csv:pom.xml行（packaging=war・デプロイ前提）","Stripes 置換・jakarta 名前空間移行完了後に Tomcat 10+ へ切り替える。デプロイ先 APサーバーの最終決定はプロジェクト要件で確認する（10-platform.csv pom.xml:322-551 の 8 種プロファイル参照）。","pom.xml:329-352（tomcat9 profile activeByDefault=true）; 08-runtime-impact.csv:server-api行",fact,yes,本番 APサーバーの種類（Tomcat/Liberty/WildFly 等）は設定から確定不可。
"ビルド環境・CI","APサーバー選択（8種プロファイル runtime）",confirm,"pom.xml に Tomcat9/TomEE8/WildFly26/Liberty-ee8/Jetty12/GlassFish5/Payara5/Resin4 の 8 種 Maven プロファイルが定義されているが、本番環境で使用するものが設定から特定不可。Liberty-ee8 は Windows CI で除外設定あり。",mid,"10-platform.csv:pom.xml行（deploy mid; risk=mid）; 00-asset-check.csv:deploy-env行（needs_confirm=yes）; 04-unresolved.csv:beans.xml行","本番 APサーバーをプロジェクトオーナーへ確認する。確認後に対応する移行プロファイルの検証を実施する。","pom.xml:322-551（8プロファイル）; 10-platform.csv:deploy行; .github/workflows/support.yaml:38-40",fact,yes,Liberty EE8 は EOL（spring-batch-infrastructure が Liberty OSGi 問題回避用に追加されていることから Liberty 利用の可能性あり）。
"APサーバーデプロイ・Liberty 環境","IBM Liberty EE8 / WildFly 26 (runtime)",confirm,"Liberty EE8（javax 4.0 ベース）は EOL。WildFly 26.x も JEE 8 / javax ベースで EOL。両者を本番使用している場合は jakarta 移行が追加で必要。Liberty の OSGi 問題回避のため spring-batch-infrastructure 5.2.6 が依存に追加されている（プロダクションコードへの直接利用なし）。",mid,"08-runtime-impact.csv:server-api行（liberty-ee8 / wildfly26 profile）; 03-libraries.csv:spring-batch-infrastructure行（risk=mid needs_confirm=yes）","Liberty/WildFly 使用有無を確認する。使用している場合は EE10 対応バージョンへの移行計画を立案する。Liberty 不使用の場合は spring-batch-infrastructure 依存を削除できる。","pom.xml:381-435（wildfly26/liberty-ee8 profile）; 03-libraries.csv:spring-batch-infrastructure行",fact,yes,Liberty 利用有無によって spring-batch-infrastructure の必要性が変わる。
