"path","domain","layer","asset_type","evidence","confidence","needs_confirm","note"
".gitattributes","cross","infra","config",".gitattributes: Git属性設定ファイル。リポジトリ管理設定","fact","no",""
".gitignore","cross","infra","config",".gitignore: Git除外設定ファイル。リポジトリ管理設定","fact","no",""
"docker-compose.yaml","cross","infra","deploy","docker-compose.yaml: Docker Compose設定。コンテナ実行環境定義","fact","no",""
"Dockerfile","cross","infra","deploy","Dockerfile: FROM openjdk:25, cargo:run -P tomcat90。コンテナビルド・実行定義","fact","no",""
"format.xml","cross","build","config","format.xml: ルート配置のコードフォーマット設定ファイル（拡張子.xml、命名から推定）","inferred","no","コードフォーマッタ（Eclipseフォーマット等）の設定と推定"
"LICENSE","cross","infra","document","LICENSE: Apache License 2.0テキスト。202行。ライセンス文書","fact","no",""
"LICENSE_HEADER","cross","infra","document","LICENSE_HEADER: ソースファイルヘッダ用ライセンス文。13行","fact","no",""
"mvnw","cross","build","shell","mvnw: Maven Wrapper シェルスクリプト。341行。ビルドツール起動","fact","no","Unix/Linux用ビルドラッパースクリプト"
"mvnw.cmd","cross","build","shell","mvnw.cmd: Maven Wrapper Windowsバッチスクリプト。210行","fact","no","Windows用ビルドラッパースクリプト"
"NOTICE","cross","infra","document","NOTICE: ライセンス通知文書。55行","fact","no",""
"pom.xml","cross","build","build","pom.xml: Maven POM。554行。依存ライブラリ（mybatis 3.5.19, spring 6.2.19, stripes 1.6.0, hsqldb 2.7.4等）とビルド設定","fact","no",""
"README.md","cross","infra","document","README.md: プロジェクト説明文書。80行","fact","no",""
"renovate.json","cross","infra","config","renovate.json: Renovatebot依存更新自動化設定。7行","fact","no",""
".github/workflows/ci.yaml","cross","infra","deploy",".github/workflows/ci.yaml: GitHub Actions CIワークフロー。34行","fact","no",""
".github/workflows/cleanup.yaml","cross","infra","deploy",".github/workflows/cleanup.yaml: GitHub Actions クリーンアップワークフロー。22行","fact","no",""
".github/workflows/codeql.yaml","cross","infra","deploy",".github/workflows/codeql.yaml: GitHub Actions CodeQL静的解析ワークフロー。45行","fact","no",""
".github/workflows/coveralls.yaml","cross","infra","deploy",".github/workflows/coveralls.yaml: GitHub Actions カバレッジ計測ワークフロー。36行","fact","no",""
".github/workflows/site.yaml","cross","infra","deploy",".github/workflows/site.yaml: GitHub Actions サイト生成ワークフロー。37行","fact","no",""
".github/workflows/sonar.yaml","cross","infra","deploy",".github/workflows/sonar.yaml: GitHub Actions SonarQube解析ワークフロー。40行","fact","no",""
