area,location,current,impact,risk,evidence,confidence,needs_confirm,note
language-version,pom.xml,Java 17 (java.release.version=17 / java.version=17),現行コードは Java 17 向けにコンパイル済み。Java 21 以降へのアップグレードは言語互換性は高いが新しい警告・削除 API が存在する可能性がある,low,pom.xml:63 <java.release.version>17</java.release.version>,fact,yes,目標 Java バージョン未定。Java 21 LTS への移行可否は要確認
language-version,pom.xml (mybatis-parent),コンパイル設定は親 POM mybatis-parent:52 に委譲,maven-compiler-plugin の source/target/release 設定が親 POM 側で行われており本 pom.xml に明示記載なし,low,pom.xml:23-28 <parent><artifactId>mybatis-parent</artifactId><version>52</version>,fact,yes,mybatis-parent:52 の compiler 設定値を別途確認のこと
namespace-migration,src/main/java/org/mybatis/jpetstore/web/actions/AccountActionBean.java,import javax.servlet.http.HttpSession,Jakarta EE 9+ (Servlet 5.0+) 移行時に jakarta.servlet.http.HttpSession へのパッケージ変更が必要,high,AccountActionBean.java:22,fact,no,spring-web が 5.3.x 固定の根本原因と同じ javax 依存。Stripes 1.6.0 も同様に javax.servlet 依存のため一括移行が必要
namespace-migration,src/main/java/org/mybatis/jpetstore/web/actions/OrderActionBean.java,import javax.servlet.http.HttpSession,Jakarta EE 9+ 移行時に jakarta.servlet.http.HttpSession へのパッケージ変更が必要,high,OrderActionBean.java:22,fact,no,AccountActionBean と同様。全 ActionBean が間接的に javax.servlet 依存
namespace-migration,src/main/java/org/mybatis/jpetstore/web/actions/CartActionBean.java,import javax.servlet.http.HttpServletRequest,Jakarta EE 9+ 移行時に jakarta.servlet.http.HttpServletRequest へのパッケージ変更が必要,high,CartActionBean.java:20,fact,no,CartActionBean.updateCartQuantities() で直接 HttpServletRequest を取得し request.getParameter() を呼出
namespace-migration,src/main/webapp/WEB-INF/web.xml,javax.servlet.jsp.jstl.fmt.localizationContext (context-param),Jakarta EE 移行時に パラメータ名の名前空間は変わらないが JSTL 実装ライブラリの Jakarta 対応版への差替が必要,mid,web.xml:31 <param-name>javax.servlet.jsp.jstl.fmt.localizationContext</param-name>,fact,no,JSTL の context-param 名は仕様上 javax.* 表記のまま残るが taglibs-standard-impl を jakarta.servlet.jsp.jstl 実装に差し替えた場合に動作確認が必要
namespace-migration,src/main/webapp/WEB-INF/web.xml (web-app スキーマ),xmlns=http://java.sun.com/xml/ns/javaee (Servlet 3.0 スキーマ),Jakarta EE 移行時は xmlns=https://jakarta.ee/xml/ns/jakartaee (Servlet 5.0+) へ変更が必要,mid,"web.xml:24-27 xmlns=""http://java.sun.com/xml/ns/javaee"" version=""3.0""",fact,no,コメントアウトされた Servlet 4.0 スキーマ (http://xmlns.jcp.org/xml/ns/javaee) も残存しており意図的に 3.0 を維持している
namespace-migration,src/main/webapp/WEB-INF/jsp/common/IncludeTop.jsp,taglib uri=http://java.sun.com/jsp/jstl/core および http://java.sun.com/jsp/jstl/fmt,JSTL Jakarta 版への移行時に taglib URI が変更される可能性あり（実装依存）,mid,IncludeTop.jsp:21-22,fact,no,taglibs-standard-impl 1.2.5 は javax ベース URI を使用。Jakarta JSTL 3.x では URI が変わる場合がある
namespace-migration,src/main/webapp/WEB-INF/beans.xml,xmlns=http://xmlns.jcp.org/xml/ns/javaee (CDI beans.xml Servlet/JEE 7 形式),CDI 4.0 (Jakarta EE 10) では xmlns=https://jakarta.ee/xml/ns/jakartaee へ変更が必要,low,beans.xml:18-22,fact,no,Stripes が CDI を直接使用しないため即時影響は低いが Jakarta EE 移行時には変更対象
deprecated-api,src/main/java/org/mybatis/jpetstore/domain/Order.java,java.util.Date を注文日時 (orderDate) フィールドに使用,java.util.Date は Java 1.1 から非推奨扱いの古い API。Java 8+ では java.time.LocalDateTime / Instant が推奨,low,"Order.java:21 import java.util.Date; Order.java:289 orderDate = new Date()",fact,no,コンパイル不可にはならないが、新ランタイムへの移行時に java.time API への置換が推奨される
server-api,src/main/webapp/WEB-INF/web.xml,Stripes StripesFilter + DispatcherServlet を Servlet 3.0 コンテナで動作,Stripes 1.6.0 は javax.servlet 依存のため Servlet 5.0+ (Jakarta EE 9+) コンテナ (Tomcat 10+・WildFly 27+等) では動作不可,high,web.xml:39-63 StripesFilter/StripesDispatcher 定義; pom.xml:329-352 tomcat9 profile (Tomcat 9.x が activeByDefault),fact,no,pom.xml の tomcat9 プロファイルがデフォルト有効。Tomcat 10+ (EE 9+) への移行は Stripes 置換なしには不可
server-api,pom.xml (liberty-ee8 profile),IBM Liberty wlp-javaee8-25.0.0.12 をターゲット APサーバーの一つとして定義,Liberty EE8 は javax.servlet 4.0 ベース。EE8 の EOL と Liberty EE10 移行時は jakarta 名前空間移行が追加で必要,mid,pom.xml:409-435 liberty-ee8 profile; pom.xml:164-169 spring-batch-infrastructure は Liberty 向け osgi 問題の回避用,fact,yes,Liberty を本番 APサーバーとして使用しているかどうか要確認
server-api,pom.xml (wildfly26 profile),WildFly 26.1.3 を対象 APサーバーの一つとして定義,WildFly 26.x は JEE 8 / javax ベース。WildFly 27+ (JEE 10) では jakarta 移行が必要,mid,pom.xml:381-407 wildfly26 profile,fact,yes,WildFly 26 は EOL。実際に使用しているかおよび WildFly 27+ 移行計画を確認
server-api,pom.xml (manifest),maven-war-plugin の MANIFEST.MF に Dependencies=jdk.unsupported を設定,jdk.unsupported モジュールへの依存を宣言。Java 9+ のモジュールシステム対応。Liberty 等一部 APサーバーでのクラスロード問題への対応,low,pom.xml:244-248 <Dependencies>jdk.unsupported</Dependencies>,fact,no,Liberty 向け設定。他 APサーバーでは無視されるが不要な依存宣言として残存
server-api,pom.xml (wildfly26 profile / jvmargs),--add-opens=java.base/java.util=ALL-UNNAMED,Java 9+ モジュールシステムで WildFly 26 上でリフレクション利用のための open 設定,low,pom.xml:388 <cargo.jvmargs>--add-opens=java.base/java.util=ALL-UNNAMED</cargo.jvmargs>,fact,no,WildFly 26 限定の JVM 引数。上位 WildFly では不要になる可能性
library-compat,pom.xml (spring-web),spring-web 5.3.39 を意図的に固定 (コメント: Keep spring-web at 5.3.39 until jakarta upgrade occurs),spring-web 5.3.x は 2024年末で EOL。6.x へのアップグレードには javax→jakarta 名前空間移行が必要,high,pom.xml:106-110 spring-web version 5.3.39 with comment,fact,no,03-libraries.csv 参照。spring-context 6.2.x と spring-web 5.3.x の混在は意図的だが EOL リスクが高い
library-compat,pom.xml (stripes),stripes 1.6.0 (最終リリース 2015年頃),開発停止・後継なし。javax.servlet 依存のため Jakarta EE 移行に対応不可。代替フレームワークへの全面移行が必要,high,pom.xml:112-126 stripes 1.6.0,fact,no,03-libraries.csv 参照。全 ActionBean クラスが net.sourceforge.stripes.* に依存しており置換影響が最大
library-compat,pom.xml (taglibs-standard-spec / taglibs-standard-impl),taglibs-standard-spec/impl 1.2.5 (JSTL 1.2 / javax.servlet.jsp 依存),Jakarta EE 移行時は jakarta.servlet.jsp.jstl への置換が必要。JSTL 1.2 は javax ベースのため Servlet 5.0+ コンテナでは動作不可,mid,pom.xml:127-135 taglibs-standard-spec/impl 1.2.5,fact,no,03-libraries.csv 参照。JSP 全画面で使用中
library-compat,pom.xml (jakarta.servlet-api),jakarta.servlet-api 4.0.4 (Servlet 4.0 / javax.servlet 名前空間),バージョン 4.0.x は javax.servlet 名前空間。Servlet 5.0+ (jakarta.servlet) への移行時には全 Servlet API 参照コードの修正が必要,high,pom.xml:143-147 jakarta.servlet-api 4.0.4,fact,no,03-libraries.csv 参照。アーティファクト ID は jakarta だがバージョン 4.x は実態が javax 名前空間
library-compat,pom.xml (jakarta.servlet.jsp-api),jakarta.servlet.jsp-api 2.3.6 (JSP 2.3 / javax.servlet.jsp 名前空間),JSP 3.0+ (jakarta.servlet.jsp) へ移行時にパッケージ変更が必要,mid,pom.xml:136-141 jakarta.servlet.jsp-api 2.3.6,fact,no,03-libraries.csv 参照。provided スコープ。APサーバー側が提供する JSP API バージョンに依存
library-compat,pom.xml (spring-batch-infrastructure),spring-batch-infrastructure 5.2.6 を Liberty の OSGi 問題回避目的で追加,Spring Batch 5.x は Spring 6.x / Jakarta EE 9+ ベース。本プロダクションコードへの直接利用はなく Liberty 専用の workaround,mid,pom.xml:164-169 (コメント: Due to osgi issue with mybatis spring its required here for liberty),fact,yes,Liberty を使用しない場合は不要な依存。依存の必要性と Liberty 利用有無を確認
